,E_m,E_sd,I_m,I_sd,TA %,FP %,FN %,FPS
ms,10.43,7.71,0.5,0.16,9.94,11.86,0.0,0
ms_k,13.27,18.52,0.48,0.19,8.97,14.42,0.0,0
kalman,17.46,10.15,0.35,0.19,2.56,40.38,0.0,0
lk,21.16,12.62,0.3,0.2,1.92,50.32,0.0,0
camshift,10.98,7.37,0.29,0.07,0.0,47.44,0.0,0
kcf,11.29,7.53,0.48,0.17,8.72,15.1,4.5,0
kcf_lk,11.41,7.5,0.47,0.17,8.65,16.03,0.0,0
kcf_k,17.33,10.11,0.35,0.19,2.56,40.06,0.0,0
