,E_m,E_sd,I_m,I_sd,TA %,FP %,FN %,FPS
ms,22.78,15.28,0.56,0.16,19.04,9.58,0.0,0
ms_k,24.63,18.49,0.54,0.16,15.26,11.02,0.0,0
kalman,13.85,9.76,0.64,0.11,29.51,3.56,0.0,0
lk,33.37,28.49,0.46,0.25,15.03,38.86,0.0,0
camshift,30.58,22.08,0.4,0.18,0.89,28.06,0.0,0
kcf,13.95,6.51,0.64,0.07,21.55,0.15,25.08,0
kcf_lk,27.87,37.06,0.56,0.21,17.59,12.92,0.0,0
kcf_k,13.41,6.19,0.64,0.07,25.17,0.11,0.0,0
