,E_m,E_sd,I_m,I_sd,TA %,FP %,FN %,FPS
ms,17.21,20.47,0.65,0.13,40.56,4.2,0.0,0
ms_k,19.85,23.58,0.64,0.14,35.31,5.16,0.0,0
kalman,19.37,17.61,0.63,0.14,29.72,4.02,0.0,0
lk,25.59,46.56,0.62,0.18,33.22,7.78,0.0,0
camshift,19.88,44.12,0.51,0.11,0.0,4.72,0.0,0
kcf,16.34,31.11,0.66,0.11,40.72,1.39,5.34,0
kcf_lk,20.87,46.94,0.65,0.14,38.64,3.06,0.0,0
kcf_k,18.43,16.69,0.63,0.13,31.03,3.41,0.0,0
