,E_m,E_sd,I_m,I_sd,TA %,FP %,FN %,FPS
ms,25.93,30.77,0.52,0.23,24.38,20.92,0.74,0
ms_k,27.68,32.57,0.5,0.23,21.78,22.4,0.74,0
kalman,131.16,37.64,0.04,0.15,2.83,94.72,0.0,0
lk,135.54,43.3,0.05,0.17,4.05,94.59,0.0,0
camshift,127.72,42.14,0.04,0.13,0.0,93.86,0.0,0
kcf,134.82,37.79,0.04,0.18,4.29,94.28,5.54,0
kcf_lk,130.86,42.44,0.06,0.2,5.28,91.15,0.0,0
kcf_k,131.25,37.05,0.04,0.15,2.58,94.96,0.0,0
