,E_m,E_sd,I_m,I_sd,TA %,FP %,FN %,FPS
ms,23.85,27.13,0.47,0.27,20.11,23.52,1.94,0
ms_k,25.94,29.64,0.45,0.26,14.9,25.49,1.94,0
kalman,35.69,33.92,0.35,0.26,6.01,40.46,0.35,0
lk,39.83,35.28,0.3,0.27,8.29,59.44,0.18,0
camshift,28.86,35.43,0.38,0.23,1.94,28.8,0.35,0
kcf,34.45,44.9,0.47,0.31,24.53,29.87,44.09,0
kcf_lk,27.78,38.82,0.49,0.28,18.73,22.26,0.35,0
kcf_k,34.52,30.48,0.34,0.26,6.01,40.81,0.35,0
