114,121,146,146
116,120,147,147
116,120,147,147
116,119,148,148
118,119,148,148
119,119,149,149
119,120,149,149
122,119,149,149
123,120,147,147
126,119,147,147
128,120,146,146
128,119,148,148
130,119,147,147
130,117,150,150
134,117,148,148
135,118,147,147
137,118,146,146
139,117,146,146
139,118,145,145
138,116,148,148
137,114,151,151
139,116,147,147
136,115,149,149
134,115,147,147
132,114,148,148
132,115,148,148
130,115,148,148
128,114,147,147
128,113,148,148
129,115,146,146
127,113,150,150
131,116,147,147
136,118,141,141
136,116,144,144
133,117,149,149
139,118,145,145
140,118,144,144
142,119,144,144
144,119,142,142
144,119,144,144
145,119,143,143
145,118,144,144
149,120,140,140
149,120,140,140
150,121,139,139
149,118,143,143
151,119,142,142
154,122,135,135
155,120,139,139
154,117,143,143
160,123,134,134
162,122,132,132
157,118,144,144
155,117,147,147
160,119,140,140
160,120,138,138
162,120,136,136
164,122,132,132
164,122,133,133
163,120,136,136
160,118,143,143
159,119,142,142
161,120,135,135
157,120,139,139
163,123,131,131
161,121,133,133
161,124,130,130
160,122,131,131
161,122,131,131
160,123,130,130
161,121,130,130
162,121,128,128
160,120,133,133
161,120,131,131
165,120,130,130
165,119,130,130
168,119,132,132
172,119,130,130
627,286,60,60
178,121,125,125
143,121,142,142
147,121,142,142
153,124,136,136
184,125,122,122
185,125,120,120
158,127,133,133
181,125,130,130
164,129,131,131
186,127,122,122
188,126,125,125
184,123,131,131
166,129,131,131
199,132,103,103
171,132,126,126
173,132,126,126
174,132,126,126
174,131,128,128
173,132,126,126
174,131,126,126
173,131,123,123
173,130,126,126
187,127,125,125
185,125,126,126
182,127,126,126
179,124,130,130
177,123,131,131
175,124,134,134
173,123,134,134
175,123,130,130
175,124,129,129
174,123,133,133
173,122,134,134
169,120,139,139
171,121,138,138
171,120,139,139
169,117,146,146
175,119,140,140
175,119,142,142
177,116,146,146
178,112,147,147
179,111,148,148
183,112,146,146
189,111,146,146
191,111,143,143
194,107,146,146
197,106,146,146
197,105,150,150
201,103,150,150
209,105,142,142
209,101,147,147
214,100,146,146
216,99,147,147
222,100,144,144
225,99,145,145
230,99,146,146
235,100,142,142
236,99,146,146
239,100,145,145
243,100,146,146
248,103,140,140
251,102,142,142
254,104,139,139
259,104,139,139
262,105,140,140
269,106,138,138
274,109,135,135
277,109,140,140
281,109,141,141
288,111,136,136
292,110,140,140
299,111,136,136
305,109,141,141
313,110,137,137
319,109,138,138
326,110,136,136
334,110,134,134
339,108,137,137
347,110,133,133
350,104,141,141
356,103,144,144
363,105,135,135
370,106,136,136
372,103,140,140
377,103,140,140
381,101,142,142
387,103,137,137
389,105,135,135
391,103,140,140
393,103,142,142
395,106,141,141
398,106,139,139
400,109,140,140
