244,117,145,145
248,122,139,139
247,122,141,141
249,127,137,137
250,130,134,134
250,130,135,135
250,132,133,133
250,134,133,133
249,135,132,132
252,138,126,126
252,137,125,125
239,120,150,150
259,134,110,110
241,110,150,150
241,106,150,150
240,103,150,150
238,100,150,150
235,97,150,150
234,95,150,150
234,93,150,150
233,91,150,150
233,89,150,150
232,87,150,150
232,86,150,150
231,84,150,150
231,82,150,150
230,80,150,150
230,78,150,150
229,77,150,150
229,75,150,150
228,73,150,150
228,71,150,150
227,69,150,150
226,68,150,150
226,66,150,150
225,64,150,150
225,62,150,150
216,111,146,146
216,115,152,152
225,122,144,144
233,126,142,142
237,125,146,146
240,123,150,150
246,125,150,150
250,127,150,150
246,123,165,165
250,128,161,161
242,122,176,176
238,121,182,182
237,121,184,184
236,123,182,182
229,119,190,190
225,116,196,196
220,113,202,202
