117,95,119,140
115,94,123,144
119,96,119,140
117,95,122,138
118,93,118,139
115,92,122,141
111,95,126,147
112,93,124,145
113,95,122,139
113,92,122,139
112,93,120,135
114,88,117,133
113,91,116,133
113,92,118,134
108,101,127,141
109,98,120,132
108,97,119,137
107,99,118,136
108,99,113,131
106,101,110,126
99,98,119,136
97,95,115,131
90,94,121,127
88,93,124,129
93,101,113,116
98,101,100,102
99,102,98,94
99,102,96,89
102,96,91,91
100,84,101,108
75,60,143,148
81,63,137,142
77,57,141,148
83,64,128,134
87,75,123,123
71,45,149,157
76,42,144,156
87,63,126,130
83,57,137,142
83,58,136,142
103,80,102,107
102,76,109,115
106,88,107,98
97,78,127,116
90,66,145,134
108,75,121,117
96,62,143,138
103,60,129,120
93,47,150,147
80,43,170,165
74,39,191,180
130,85,92,101
123,87,109,102
124,95,110,94
122,94,114,99
135,100,87,90
136,92,90,102
133,95,97,100
137,91,92,102
127,82,114,125
129,92,109,119
127,89,119,123
130,93,114,118
127,95,122,126
132,101,115,120
130,101,117,125
128,97,122,133
127,99,126,137
136,103,110,123
136,102,115,128
133,102,121,135
131,105,120,134
129,105,124,138
129,102,127,142
127,104,128,144
130,102,122,138
129,108,123,137
130,107,121,135
133,110,117,133
130,108,116,130
143,108,98,117
143,104,100,115
136,95,114,131
137,89,119,142
147,97,116,181
147,88,116,200
143,88,120,200
142,88,124,200
137,98,131,190
134,102,136,186
144,101,105,145
141,92,106,148
141,98,97,131
138,99,101,128
138,97,105,134
139,96,100,143
138,95,98,142
137,96,96,133
137,97,92,133
136,96,98,131
133,96,100,130
134,92,98,137
136,95,97,140
133,97,100,140
133,97,101,138
132,97,101,137
132,97,105,144
136,100,95,130
135,98,101,141
137,102,95,138
135,99,96,142
136,98,92,139
133,96,103,139
132,95,104,144
133,94,101,147
136,101,97,146
133,97,103,146
134,97,96,139
134,97,95,136
133,100,92,131
134,99,92,137
135,99,88,134
137,102,84,138
132,100,94,140
132,100,96,144
132,98,98,146
132,100,98,145
132,101,100,134
132,103,100,136
133,103,101,139
130,104,102,129
132,99,97,137
130,95,98,132
131,99,98,134
131,101,99,130
129,99,100,133
127,100,98,126
126,100,96,126
124,96,100,125
122,95,102,129
120,98,102,128
119,96,107,129
119,97,105,127
119,97,107,126
116,100,108,124
109,99,112,124
109,100,112,131
107,100,117,134
107,96,115,132
106,98,116,132
105,97,116,135
103,100,120,138
102,103,123,145
101,104,123,144
105,98,116,138
103,89,122,141
103,95,119,138
103,95,118,135
101,96,121,137
97,97,125,138
97,100,127,141
96,101,124,140
96,102,123,140
97,102,121,138
99,102,122,141
99,98,123,138
101,96,123,138
101,99,121,130
107,101,107,117
100,85,120,130
99,84,122,129
103,87,119,126
98,86,110,120
100,89,108,130
88,78,114,163
72,70,123,208
93,99,104,134
95,97,100,132
84,96,115,143
76,86,128,144
84,96,115,149
87,96,107,131
96,102,92,117
95,88,97,147
83,104,115,152
85,103,112,143
88,104,107,135
74,112,115,176
67,122,127,166
61,126,133,162
58,130,137,158
50,138,141,150
54,144,136,144
57,150,131,138
60,154,125,134
62,158,123,130
63,160,123,128
66,96,137,159
51,130,152,158
55,132,144,156
62,134,137,154
62,136,134,152
60,140,134,148
60,142,132,146
61,142,134,146
60,138,134,150
59,134,138,154
55,132,144,156
55,130,147,158
48,122,152,166
47,116,157,172
41,108,166,180
35,102,176,186
33,90,184,198
36,80,190,208
78,124,111,146
72,130,117,158
66,126,126,162
60,126,137,162
52,120,151,168
45,116,166,172
64,106,131,152
49,138,144,150
46,140,145,148
47,144,143,144
50,146,137,142
76,82,118,132
95,84,101,113
98,86,100,105
102,82,112,99
102,80,115,101
102,75,117,109
113,85,95,100
104,76,113,122
104,75,115,124
101,73,122,132
108,83,107,118
103,80,121,136
102,76,121,137
99,93,129,140
99,94,127,144
102,86,123,142
103,88,124,141
105,90,122,138
104,90,123,141
106,84,121,144
109,84,120,141
109,77,123,142
110,77,120,137
108,78,124,142
111,79,116,136
106,84,120,135
107,84,119,134
105,88,123,137
109,94,122,144
109,93,121,139
108,95,121,140
110,103,118,134
104,95,122,139
101,93,126,140
104,98,122,139
105,98,121,138
108,99,117,138
110,92,116,132
110,90,118,132
110,92,118,133
110,93,117,134
109,92,121,136
109,92,120,136
108,93,121,139
109,94,119,135
109,94,119,133
113,102,110,113
109,98,123,125
113,91,118,124
107,91,120,123
112,97,108,109
110,97,109,106
112,101,100,96
121,108,88,83
104,99,118,109
110,106,101,94
108,106,103,96
107,110,98,88
98,98,117,106
104,109,105,92
99,102,120,108
104,102,103,107
93,91,122,112
97,96,119,109
86,96,132,119
81,91,142,129
96,102,112,104
100,102,104,102
95,93,121,114
94,93,121,117
95,96,119,114
90,88,133,130
99,96,114,112
101,102,112,100
106,96,103,103
111,97,98,90
98,92,115,108
92,84,125,117
97,90,117,110
91,91,126,115
92,94,122,110
94,96,120,109
91,98,125,110
88,91,130,116
87,90,131,117
105,105,92,101
100,101,102,102
106,101,89,99
103,97,98,107
91,96,124,116
96,105,115,105
99,106,113,106
107,110,101,93
105,115,100,89
112,107,91,100
108,106,96,106
95,102,119,129
96,96,119,138
99,98,115,135
96,96,118,140
95,97,116,141
94,96,121,143
95,93,119,137
94,92,121,134
95,98,120,134
91,96,120,130
92,96,122,135
90,98,122,133
91,99,119,136
88,100,120,132
87,97,120,135
85,97,122,137
85,99,123,136
85,100,121,137
84,101,118,132
83,103,120,133
83,102,118,134
81,104,118,133
79,104,121,135
78,107,115,130
80,108,110,126
77,101,120,133
77,102,120,132
76,99,117,131
81,103,106,117
81,99,113,131
86,99,103,122
84,92,114,142
85,95,123,161
92,106,98,123
95,108,102,136
92,94,108,172
97,106,101,140
93,108,112,155
93,99,105,140
93,102,102,137
92,101,100,133
91,102,100,133
92,100,95,130
92,98,98,131
92,97,98,132
95,97,95,130
96,96,98,142
96,98,99,133
96,98,98,127
102,103,95,140
100,105,93,120
100,98,100,143
100,96,99,144
101,102,101,147
103,102,95,134
106,102,90,128
105,107,92,124
109,110,94,144
108,108,92,128
108,105,95,140
106,98,99,144
103,91,104,142
105,89,107,146
106,92,107,150
110,98,101,141
110,100,100,135
109,93,101,137
106,89,108,132
108,89,107,127
107,89,108,126
108,88,101,126
109,87,104,133
109,86,107,136
109,85,105,138
109,88,100,135
108,92,99,120
106,91,103,127
104,88,109,132
106,95,105,129
111,101,97,127
108,95,101,126
107,94,102,129
106,92,110,140
107,87,109,138
108,89,102,130
103,87,106,127
102,90,108,125
98,93,115,131
93,89,122,138
90,90,124,141
91,89,125,137
91,94,123,141
94,99,120,137
98,93,115,136
100,96,111,130
98,98,114,133
95,105,117,135
88,101,124,141
88,102,123,138
89,105,123,142
90,102,120,140
92,96,119,140
89,105,120,139
93,100,117,136
95,102,115,133
92,101,119,135
94,100,116,135
93,101,117,134
91,100,118,136
93,104,116,134
94,105,113,132
93,106,114,136
93,106,116,135
92,105,119,133
94,110,110,122
91,101,115,128
91,99,110,126
94,99,106,120
89,96,111,138
88,97,108,133
85,99,111,139
84,91,113,128
72,82,127,155
48,74,142,197
29,88,163,200
74,96,113,137
76,98,109,136
77,102,111,133
70,96,113,175
58,122,128,166
49,130,138,158
41,136,148,152
39,142,154,146
35,146,159,142
32,150,164,138
32,150,162,138
34,152,161,136
38,154,154,134
42,158,147,130
47,162,137,126
50,168,129,120
55,174,118,114
62,182,107,106
66,188,99,100
69,190,94,98
73,192,85,96
74,194,82,94
74,194,84,94
74,194,85,94
73,196,86,92
75,198,83,90
74,198,85,90
74,200,85,88
76,202,79,86
75,202,83,86
76,202,79,86
75,200,82,88
75,198,83,90
73,198,87,90
72,200,87,88
74,200,80,88
74,198,84,90
74,198,83,90
74,198,83,90
75,198,85,90
75,200,85,88
78,202,79,86
74,202,84,86
75,204,80,83
77,205,76,83
75,200,81,88
72,196,87,92
71,194,88,94
71,194,91,94
70,194,93,94
68,194,94,94
69,196,91,92
74,198,86,90
73,198,91,90
70,198,97,90
74,198,89,90
67,198,97,90
73,200,82,88
70,200,95,88
74,200,83,88
71,198,92,90
73,200,87,88
72,200,88,88
72,200,87,88
71,200,84,88
70,200,89,88
73,200,83,88
70,200,89,88
74,202,80,86
74,204,78,84
73,207,78,81
70,211,83,74
57,214,104,74
46,216,123,72
39,216,141,72
33,218,150,70
30,220,159,68
27,222,167,66
24,222,173,66
25,224,177,64
21,226,184,62
20,228,189,60
18,230,193,58
17,230,197,58
15,230,200,58
15,232,205,56
13,234,210,54
13,234,216,54
12,234,225,54
9,234,243,54
5,230,291,58
1,226,321,62
0,224,333,64
0,222,343,66
0,220,343,68
0,218,337,70
0,216,337,72
0,216,337,72
0,216,346,72
0,216,343,72
0,214,341,74
0,214,340,74
0,214,343,74
0,214,346,74
0,214,352,74
0,214,345,74
0,214,349,74
0,214,346,74
0,212,347,76
0,212,349,76
0,212,342,76
0,212,343,76
0,214,345,74
0,216,343,72
0,216,343,72
0,216,342,72
0,214,352,74
0,214,349,74
0,214,352,74
0,214,346,74
0,214,352,74
0,214,348,74
0,214,350,74
0,214,347,74
0,214,352,74
0,214,351,74
0,212,352,76
0,210,352,78
0,212,351,76
0,212,352,76
0,210,352,78
0,210,349,78
0,210,351,78
0,210,352,78
0,210,352,78
0,210,352,78
0,210,352,78
0,208,352,80
0,204,352,84
95,108,110,92
96,107,113,100
98,110,118,111
107,118,97,101
99,117,106,119
96,121,112,131
96,119,117,132
95,116,123,136
98,117,120,134
101,118,114,132
100,120,116,133
99,118,119,135
99,113,122,138
99,119,113,140
99,111,117,140
100,117,115,137
99,124,116,142
100,124,117,143
100,120,114,136
101,119,112,130
100,119,115,136
99,121,118,139
100,121,117,139
101,121,116,139
102,119,115,136
98,115,118,137
100,112,115,136
102,110,115,130
99,113,118,125
105,107,107,114
105,103,109,123
103,105,116,113
107,92,114,112
115,82,119,111
109,76,133,119
94,66,162,141
76,56,195,166
71,44,246,190
83,82,141,134
85,85,132,124
89,84,122,115
91,90,122,113
93,93,119,109
87,82,130,117
75,74,155,130
89,88,120,107
88,81,126,117
92,83,123,115
96,88,113,105
82,76,132,124
83,83,132,124
80,73,138,131
97,95,108,97
98,97,108,95
95,92,113,103
97,86,112,104
92,85,117,108
88,80,131,123
97,99,113,98
86,86,137,118
74,73,161,142
49,58,191,161
34,50,221,182
19,40,252,202
7,31,283,222
0,17,323,241
0,0,352,269
0,0,352,288
0,0,352,288
0,0,352,288
0,0,352,288
0,0,352,288
0,0,352,288
92,98,117,102
86,92,131,108
84,86,143,122
102,89,117,108
98,83,120,114
102,79,112,119
100,75,122,127
100,75,122,130
101,94,112,106
91,91,128,119
94,98,124,113
86,81,139,132
84,72,154,142
88,95,127,115
79,87,147,131
84,96,133,123
95,101,119,114
98,105,114,107
95,107,111,115
97,113,104,114
93,115,110,123
89,112,115,129
87,114,116,122
95,122,101,108
90,117,100,112
85,116,106,117
84,106,110,122
83,97,116,133
85,100,111,131
84,99,109,128
84,98,109,129
82,98,109,123
86,103,98,116
87,104,95,116
83,101,107,141
84,99,109,150
86,95,114,192
86,94,118,194
87,94,122,194
85,102,126,186
86,112,126,176
88,120,125,168
88,124,124,164
87,134,125,154
87,140,128,148
90,144,128,144
90,148,130,140
87,154,133,134
89,150,132,138
89,152,131,136
92,148,127,140
90,146,127,142
90,144,127,144
89,148,129,140
87,148,133,140
88,146,132,142
91,142,128,146
90,142,128,146
90,142,131,146
86,142,136,146
84,146,141,142
84,150,143,138
84,150,142,138
83,152,144,136
86,150,143,138
87,150,140,138
86,148,143,140
81,152,150,136
82,148,152,140
82,148,151,140
84,144,153,144
85,140,153,148
87,128,159,160
83,126,160,162
85,124,161,164
86,120,161,168
89,114,159,174
90,116,159,172
91,114,159,174
91,116,161,172
96,116,157,172
97,116,154,172
99,116,149,172
101,116,147,172
106,122,149,166
103,134,153,154
102,136,159,152
101,140,161,148
105,138,161,150
132,110,62,79
129,93,71,109
128,83,78,141
127,63,84,179
124,47,94,214
117,32,104,235
116,31,113,245
110,23,124,255
105,19,131,268
102,12,138,275
96,11,146,276
92,5,152,282
86,2,162,285
83,0,170,288
82,2,175,286
78,0,179,286
77,0,183,288
74,0,192,282
113,84,99,136
110,67,106,178
109,51,112,209
104,35,118,233
102,30,126,249
101,28,129,255
101,31,131,253
101,70,120,157
106,69,120,194
103,50,124,223
104,76,113,140
99,81,116,135
100,87,107,125
96,86,115,125
93,84,118,131
92,85,117,135
89,85,116,133
89,86,116,133
89,88,116,132
90,91,120,131
91,93,116,127
91,91,117,128
92,88,115,131
93,92,113,129
93,93,115,131
97,103,96,112
97,99,101,119
95,100,106,121
95,103,113,127
94,101,113,127
94,100,117,132
94,99,116,134
94,97,119,137
99,97,113,131
100,93,117,132
100,92,118,133
100,93,118,135
103,90,118,139
105,87,120,138
101,95,122,141
102,95,119,140
103,92,117,137
106,100,116,137
105,100,117,138
104,103,121,140
107,104,119,138
102,100,124,134
105,98,119,125
110,101,110,111
105,94,124,116
105,96,126,116
113,89,113,117
111,85,116,115
116,85,109,111
116,70,126,131
135,90,95,93
130,90,92,97
128,77,102,115
138,81,94,99
134,78,105,112
138,79,104,108
134,79,97,109
132,69,112,122
123,52,142,153
107,48,160,162
90,38,181,180
76,44,193,177
64,21,230,202
78,0,274,218
68,0,284,246
52,0,300,272
26,0,326,288
10,0,342,288
14,0,338,288
20,0,332,288
18,0,334,288
16,0,336,288
20,0,332,288
24,0,328,288
28,0,324,288
28,0,324,288
28,0,324,288
26,0,326,288
26,0,326,288
28,0,324,288
32,0,320,288
139,91,108,95
