,TME_m,TME_sd,IoU_m,IoU_sd,TA %,FP %,FN %,FPS
kcf_lk,21.21,48.32,0.65,0.14,38.64,3.15,0.0,10
kcf_k,23.61,53.7,0.64,0.15,38.64,4.46,0.0,10
kalman,18.82,17.11,0.6,0.17,41.0,3.41,0.0,14
lk,25.94,47.89,0.62,0.18,33.13,7.87,0.0,15
camshift,20.57,47.05,0.51,0.11,0.0,4.9,0.0,8
kcf,15.61,26.06,0.67,0.1,40.72,1.2,5.34,8
