,TME_m,TME_sd,IoU_m,IoU_sd,TA %,FP %,FN %,FPS
kcf_lk,9.93,7.32,0.73,0.11,76.89,1.79,0.0,46
kcf_k,16.19,32.67,0.7,0.18,75.96,5.49,0.0,40
kalman,9.98,5.92,0.68,0.11,51.66,0.17,0.0,59
lk,14.1,18.34,0.68,0.19,73.62,9.36,0.0,52
camshift,9.67,7.68,0.59,0.15,17.74,6.13,0.0,54
kcf,9.09,5.72,0.74,0.08,80.42,0.45,5.7,43
