,TME_m,TME_sd,IoU_m,IoU_sd,TA %,FP %,FN %,FPS
kcf_lk,11.41,7.5,0.47,0.17,8.65,16.03,0.0,32
kcf_k,11.88,8.67,0.47,0.18,8.65,16.99,0.0,19
kalman,17.4,10.1,0.34,0.16,0.32,38.14,0.0,31
lk,21.16,12.62,0.3,0.2,1.92,50.32,0.0,30
camshift,11.08,7.51,0.29,0.07,0.0,47.76,0.0,30
kcf,11.19,7.39,0.48,0.16,8.72,14.77,4.5,31
