,TME_m,TME_sd,IoU_m,IoU_sd,TA %,FP %,FN %,FPS
kcf_lk,130.56,42.89,0.06,0.2,5.28,90.91,0.0,60
kcf_k,132.53,39.61,0.05,0.18,4.3,93.73,0.0,58
kalman,130.8,37.74,0.03,0.13,0.0,95.21,0.0,48
lk,135.39,43.53,0.05,0.17,4.05,94.47,0.0,57
camshift,127.72,42.14,0.04,0.14,0.0,93.86,0.0,55
kcf,134.19,38.9,0.05,0.18,4.55,93.76,5.54,59
