,TME_m,TME_sd,IoU_m,IoU_sd,TA %,FP %,FN %,FPS
kcf_lk,27.87,37.06,0.56,0.21,17.59,12.92,0.0,57
kcf_k,45.83,62.53,0.5,0.27,16.59,21.6,0.0,57
kalman,14.07,9.79,0.64,0.1,25.84,1.78,0.0,57
lk,33.37,28.49,0.46,0.25,15.03,38.86,0.0,52
camshift,30.58,22.08,0.4,0.18,0.89,28.06,0.0,52
kcf,13.95,6.51,0.64,0.07,21.55,0.15,25.08,57
